"","State","Year","sum_Population","mean_Model.based.Death.Rate","mean_Standard.Deviation","mean_Lower.Confidence.Limit","mean_Upper.Confidence.Limit","sum_Tot_Clms","sum_Tot_Opioid_Clms","mean_Opioid_Prscrbng_Rate","mean_Opioid_Prscrbng_Rate_1Y_Chg","mean_Opioid_Prscrbng_Rate_5Y_Chg","high_overdose_death_rate","perc_opioid_clms"
"38","Florida",2019,21492056,23.3478868656716,1.45356582089552,20.7655574626866,26.4580305970149,53676416,1385806,2.19666666666667,-0.41,-3.19333333333333,FALSE,2.58177818727689
"39","Florida",2020,21733312,30.2379197014925,1.88083373134328,26.8965519402985,34.2622968656716,50712174,1320352,2.25,0.0533333333333333,-2.24333333333333,TRUE,2.60361939916045
"40","Florida",2021,21781128,34.8975017910448,2.16983701492537,31.0427246268657,39.5402644776119,55046442,1359292,2.17333333333333,-0.0766666666666667,-1.64,TRUE,2.46935487674208
"41","Georgia",2018,10519389,15.1353504402516,1.86228905660377,12.0198867295597,19.3012396226415,32164350,1378740,4.34333333333333,-0.87,-2.55333333333333,FALSE,4.28654706219774
"42","Georgia",2019,10628020,15.8041083647799,1.94450251572327,12.5510975471698,20.1538977987421,31231700,1193130,3.87333333333333,-0.47,-2.81,FALSE,3.82025314023892
"43","Georgia",2020,10710017,20.4677645283019,2.5177841509434,16.2556125786164,26.0998847798742,29026300,1034762,3.6,-0.273333333333333,-2.70333333333333,FALSE,3.56491182134823
"44","Georgia",2021,10799566,23.6238179874214,2.90569150943396,18.7626520754717,30.1236049685535,30828280,980956,3.25666666666667,-0.343333333333333,-2.57666666666667,FALSE,3.18200042298824
"45","Hawaii",2018,1423102,16.286046,1.80405,13.450196,20.482232,5070628,232568,8.04666666666667,-1.76333333333333,-5.32,FALSE,4.58657191969121
"46","Hawaii",2019,1415615,17.006158,1.883636,14.04521,21.387468,4408074,172200,7.19,-0.856666666666667,-4.42,FALSE,3.90646799486578
"47","Hawaii",2020,1407006,22.023678,2.438504,18.190542,27.695624,4181162,156114,6.89333333333333,-0.296666666666667,-4.15,FALSE,3.73374674313026
"48","Hawaii",2021,1441553,25.417666,2.813876,20.994468,31.962726,4002246,149016,6.86,-0.0333333333333333,-3.35,TRUE,3.72330936179335
"49","Idaho",2018,1752074,13.9748670454545,2.18478522727273,10.4475284090909,18.9803690909091,4739638,194658,4.11,-1.17,-4.17,FALSE,4.10702251944136
"50","Idaho",2019,1789060,14.5924422727273,2.28126386363636,10.9093231818182,19.8189740909091,4643520,168216,3.62,-0.49,-4.25,FALSE,3.62259665081662
"51","Idaho",2020,1826913,18.8984159090909,2.95401136363636,14.1290331818182,25.6661527272727,6745088,264152,3.92,0.3,-2.93,FALSE,3.91621280552604
"52","Idaho",2021,1900923,21.8123888636364,3.40921636363636,16.3079740909091,29.6229402272727,7851690,281850,3.59,-0.33,-2.53,FALSE,3.58967305127941
"53","Illinois",2018,12724685,16.3101156862745,1.86445862745098,13.1661204901961,20.4583097058824,49583528,1885206,3.61,-1.11,-1.83666666666667,FALSE,3.80208120729126
"54","Illinois",2019,12667017,17.0307993137255,1.94674421568627,13.7480420588235,21.3620624509804,51049366,1694692,2.92333333333333,-0.686666666666667,-3.00666666666667,FALSE,3.31971213903029
"55","Illinois",2020,12587530,22.0564239215686,2.52053009803922,17.8060352941176,27.6642273529412,48145120,1519832,2.78666666666667,-0.136666666666667,-3.28333333333333,FALSE,3.15677269056552
"56","Illinois",2021,12671469,25.456587745098,2.9087437254902,20.5515045098039,31.928061372549,50115560,1572566,2.67666666666667,-0.11,-2.92,TRUE,3.13787973236256
"57","Indiana",2018,6698481,22.92558,2.02610239130435,19.3629392391304,27.2967276086957,30270948,1255098,3.63333333333333,-0.833333333333333,-2.31666666666667,FALSE,4.14621306210826
"58","Indiana",2019,6731010,23.9385656521739,2.11547532608696,20.2187598913043,28.5025116304348,29690738,1088888,3.29,-0.343333333333333,-2.18666666666667,FALSE,3.66743325814266
"59","Indiana",2020,6754953,31.0020695652174,2.73865673913043,26.1863489130435,36.9103516304348,30892820,1085250,3.12666666666667,-0.163333333333333,-3.98,TRUE,3.51295220054369
"60","Indiana",2021,6805985,35.7818761956522,3.1602572826087,30.2247138043478,42.5996214130435,34966360,1169566,2.97333333333333,-0.153333333333333,-2.64333333333333,TRUE,3.34483200424637
"61","Iowa",2018,3149900,8.50812575757576,1.4741003030303,6.1554005050505,11.911025959596,5053658,235436,4.66,0.1,-1.37,FALSE,4.65872443287615
"62","Iowa",2019,3159596,8.88417949494949,1.53921767676768,6.42751484848485,12.4373919191919,5888095,274588,4.66,0,-1.86,FALSE,4.66344377935478
"63","Iowa",2020,3163561,11.5060452525253,1.99325929292929,8.32465141414141,16.1073362626263,13603420,875762,5.94666666666667,1.19,2.01,FALSE,6.43780755133636
